GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
unittest,com.jatismobile.unittest.services,TokenWAIService,0,44,0,2,0,11,0,3,0,2
unittest,com.jatismobile.unittest,Main,0,16,0,0,0,5,0,4,0,4
unittest,com.jatismobile.unittest.exceptions,ControllerException,0,47,0,0,0,11,0,3,0,3
unittest,com.jatismobile.unittest.services.unittest,OrderService,0,49,0,2,0,13,0,3,0,2
unittest,com.jatismobile.unittest.services.unittest,ItemService,0,49,0,2,0,13,0,3,0,2
unittest,com.jatismobile.unittest.controllers,OrderController,0,26,0,0,0,7,0,3,0,3
unittest,com.jatismobile.unittest.controllers,ItemController,0,28,0,0,0,8,0,3,0,3
unittest,com.jatismobile.unittest.utils,DateTimeUtil,0,21,0,0,0,5,0,3,0,3
unittest,com.jatismobile.unittest.utils,ValidationUtil,0,19,0,2,0,4,0,3,0,2
unittest,com.jatismobile.unittest.configurations,UnitTestDBConfig,0,25,0,0,0,8,0,4,0,4
